source,paragraph
Christie,the station and meet him there. I felt that it was of the utmost
Conan Doyle,"“How, in the name of good-fortune, did you know all that, Mr. Holmes?”"
Conan Doyle,"or the great issues that may hang from a boot-lace. Now, what did you"
Conan Doyle,between the boards. Then he did the same with the wood-work with which
Conan Doyle,"of the street, and in ten minutes was rejoiced to find my friend’s arm"
Conan Doyle,"“This may interest you, Lestrade,” he remarked, holding it out. “The"
Christie,up to the Villa Geneviève.”
Christie,victim. Fool that I had been to walk into the trap so easily.
Conan Doyle,in silent ecstasy.  In their excitement they had unconsciously seized
Conan Doyle,"dressing-table on the left-hand side of the window. These articles,"
Christie,day that he quarrelled with M. Jack—_ma foi!___ they might have been
Conan Doyle,“Is Toller still drunk?” he asked.
Christie,  CHAPTER XXXVI
Christie,"unintelligent remark. No, my dear child, I do not believe in this"
Conan Doyle,"We'll be ""down, hull-down, on the old trail"" from now on.  God bless"
Conan Doyle,"evening, and now Dr. James Illingworth, of Edinburgh, rose in the"
Conan Doyle,fields and carrying out our plans. That is why I have made you promise
Conan Doyle,"grew ever shallower we returned and reported, what Professor Challenger"
Christie,“That is settled then. Why not return with me to-day?”
Christie,“I’m glad you acknowledge the debt. You can’t get out of it. I
Christie,"away on a holiday. Finally there are Madame Renauld and her son, M."
Christie,discovering him for herself and the _Daily Budget._ Young women
Conan Doyle,straight for the shore upon which we stood.  They were some miles out
Conan Doyle,thought I had a decline and took me to half the doctors in ’Frisco. Not
Christie,“What should he do that for? With robbers and assassins passing every
Conan Doyle,"There was no rest for me, no peace, no forgetfulness; turn where I"
Conan Doyle,"and Peru, but it was a revelation to me to find the excitement which"
Conan Doyle,"""What I do now?"" he cried.  ""You tell me and I do it."""
Christie,Pagett began to lose his temper. Chichester kept his serenely. With
Christie,the methods employed for lifting the man off the live rail and back
Conan Doyle,"""Dooced ingenious, I call it,"" said our peer.  ""I'd like to see how it"
Conan Doyle,"the wife tried to force her way up, and perhaps he has already heard"
Conan Doyle,"""I must say,"" said he, ""that I think it would be a mighty poor thing to"
Conan Doyle,medical student type.  Apparently the great hospitals had each sent
Conan Doyle,"“Ha!” cried I, “if it is anything in the nature of a problem which you"
Christie,I hesitated. She slipped a small soft hand into mine.
Conan Doyle,bureau first and looked hard at the lock.
Conan Doyle,"and no mechanism of his could have met.  What could his sling, his"
Conan Doyle,that my thumb had been cut off and that the blood was pouring from my
Conan Doyle,The telegram which we eventually received came late one night just as I
Christie,"Dashing forward, he battered wildly on the front door. Then rushing to"
Conan Doyle,"that I badly want to say to you."""
Conan Doyle,“And now?” I asked.
Conan Doyle,remembrance of one book which I had read in which it spoke of creatures
Conan Doyle,and though it was thin it was very strong.  He had prepared a sort of
Christie,and devise ingenious schemes—and I never made the mistake of trying
Conan Doyle,I do not know how long we stayed motionless gazing at this marvelous
Conan Doyle,"I was weary and spent, so my progress was not so fast as I wished; but"
Christie,"Slowly and awkwardly, I set myself in motion. It was not easy."
Conan Doyle,which stretched before us.
Conan Doyle,"of what nature I could not imagine.  The first page was disappointing,"
Christie,Poirot pointed to a window on the first floor.
Conan Doyle,"with an oath. ‘Tell Mary that I shall want a fire in my room to-day,"
Christie,at length about keeping a diary.
Conan Doyle,"friendly relations.  We also continually visited their caves, which"
Conan Doyle,"Indians for torches.  Each of us picked up a faggot of this, and we"
Conan Doyle,"breathless impatience for many hundreds of yards.  Then, suddenly, in"
Conan Doyle,"Our two professors sat in absorbed argument, examining piece after"
Conan Doyle,"disposition, but affectionate and warm-hearted in her ways, so that it"
Conan Doyle,"and finally that C was visited, with, I fear, a sinister result for C."
Conan Doyle,snort and plunge of the huge creatures who lived therein.
Conan Doyle,The little man stood glancing from one to the other of us with
Conan Doyle,"light I saw that the black ceiling was coming down upon me, slowly,"
Conan Doyle,"emptied our magazines, firing bullet after bullet into the beasts, but"
Christie,There was no deception—the swoon was genuine. Therefore I was satisfied
Christie,"“Poirot,” I cried, keeping pace with him as he walked along the"
Christie,"for the bathing pavilion, and when they said would I have a surf"
Conan Doyle,"alone is twice as tall as a full-grown man.'  Well, what do you make of"
Conan Doyle,"away. On returning, he found that Horner had disappeared, that the"
Christie,to yourself that a lady of my acquaintance at the beginning of the war
Christie,I wonder now! Even the most respectable men——It would cheer me up
Christie,"“I’m not sure that I shan’t stay on at the Falls a bit,” I answered"
Christie,“And the point of all this?” sneered Giraud.
Conan Doyle,"“I have almost every link in my hands, and all the proofs which I could"
Conan Doyle,"When the commissionaire had gone, Holmes took up the stone and held it"
Christie,in all this puzzled me.
Conan Doyle,“‘The firm does so when the security is good.’ I answered.
Christie,"come up to the house, as is sometimes done to see that all is well,"
Christie,trouble—_I___ know that well enough.…”
Christie,a souvenir of the War.”
Conan Doyle,"contain the gas, but the contemplation of the immense entrails of these"
Christie,On the following morning I was up early and went out into the town
Christie,worry me at all.”
Christie,they consider it likely or possible that I had started off on this
Christie,has paid a large sum in notes into her banking account. Altogether the
Conan Doyle,"attention to this, and written a little monograph on the ashes of 140"
Conan Doyle,where I dropped it.  We are sending home one of our local Indians who
Conan Doyle,"has the face of the most beautiful of women, and the mind of the most"
Conan Doyle,prisoner as the handcuffs clattered upon his wrists. “You may not be
Conan Doyle,"mud geyser, where some strange gas formed great bursting bubbles upon"
Christie,"subject that has a special fascination for me. In my humble way,"
Christie,"Fortunately I am an excellent sailor. Pagett, poor fellow, is not."
Christie,"eluded overtakes him. An unknown hand stabs him in the back.… Now,"
Christie,There were no further excitements that night. I had breakfast in
Conan Doyle,"which he was remarkable, and, having closed the door and bowed her into"
Conan Doyle,"plentiful with me as they once were,” he remarked. “I had no doubt that"
Conan Doyle,"“I never hope to see such a sight as that again, Mr. Holmes. From"
Christie,they squashed! Evidently arriving early in the morning at places
Christie,"looking fairly normal, but I knew that it could not be long before"
Christie,declared positively that they were Russians.
Christie,stroll inside and look around. Probably I should find her in the
Conan Doyle,"""And I venture to trust we may not,"" I observed."
Conan Doyle,"plateau, to which I alone, of all men, would have penetrated.  I thought"
Conan Doyle,"shadows, there was one circle of deeper gloom.  Surely it could only be"
Conan Doyle,“Really! Does it not strike you as a little singular that this
Conan Doyle,"would be almost as serious as its complete loss, for there are no"
Conan Doyle,nervous clasping and unclasping of his long thin hands.
Christie,"to England, Anne—and—and marry and be happy.”"
Conan Doyle,"""My paper will see to that."""
Conan Doyle,which was of the greatest importance in clearing up the case. All these
Christie,"Stonor stared at him, a dawning light of comprehension in his eyes."
Christie,“I’m teaching you to realize life as it is. I’m teaching you to be
Conan Doyle,"loomed up for an instant and were gone--great, silent shadows which"
Christie,"subject. He described the methods of housing the natives, the"
Conan Doyle,"rags, and his hat was gone.  I stared in amazement, but he gave me no"
Christie,taken it with you to Paris. Doubtless you will contradict me—”
Conan Doyle,"“Yes, sir, that be the house of Dr. Grimesby Roylott,” remarked the"
Conan Doyle,"Brain, character, soul--only as one sees more of life does one"
Conan Doyle,principle appears to tell heavily against our home product. One by one
